Date,Open,High,Low,Close*,Adj Close**,Change,Return,Date
3-Mar-20,"26,762.47","27,084.59","25,706.28","25,917.41","25,917.41",,,3-Mar-20
4-Mar-20,"26,383.68","27,102.34","26,286.31","27,090.86","27,090.86","1,173.45",0.05,4-Mar-20
5-Mar-20,"26,671.92","26,671.92","25,943.33","26,121.28","26,121.28",-969.58,-0.04,5-Mar-20
6-Mar-20,"25,457.21","25,994.38","25,226.62","25,864.78","25,864.78",-256.5,-0.01,6-Mar-20
9-Mar-20,"24,992.36","24,992.36","23,706.07","23,851.02","23,851.02","-2,013.76",-0.08,9-Mar-20
10-Mar-20,"24,453.00","25,020.99","23,690.34","25,018.16","25,018.16","1,167.14",0.05,10-Mar-20
11-Mar-20,"24,604.63","24,604.63","23,328.32","23,553.22","23,553.22","-1,464.94",-0.06,11-Mar-20
12-Mar-20,"22,184.71","22,837.95","21,154.46","21,200.62","21,200.62","-2,352.60",-0.1,12-Mar-20
13-Mar-20,"21,973.82","23,189.76","21,285.37","23,185.62","23,185.62","1,985.00",0.09,13-Mar-20
16-Mar-20,"20,917.53","21,768.28","20,116.46","20,188.52","20,188.52","-2,997.10",-0.13,16-Mar-20
17-Mar-20,"20,487.05","21,379.35","19,882.26","21,237.38","21,237.38","1,048.86",0.05,17-Mar-20
18-Mar-20,"20,188.69","20,489.33","18,917.46","19,898.92","19,898.92","-1,338.46",-0.06,18-Mar-20
19-Mar-20,"19,830.01","20,442.63","19,177.13","20,087.19","20,087.19",188.27,0.01,19-Mar-20
20-Mar-20,"20,253.15","20,531.26","19,094.27","19,173.98","19,173.98",-913.21,-0.05,20-Mar-20
23-Mar-20,"19,028.36","19,121.01","18,213.65","18,591.93","18,591.93",-582.05,-0.03,23-Mar-20
24-Mar-20,"19,722.19","20,737.70","19,649.25","20,704.91","20,704.91","2,112.98",0.11,24-Mar-20
25-Mar-20,"21,050.34","22,019.93","20,538.34","21,200.55","21,200.55",495.64,0.02,25-Mar-20
26-Mar-20,"21,468.38","22,595.06","21,427.10","22,552.17","22,552.17","1,351.62",0.06,26-Mar-20
27-Mar-20,"21,898.47","22,327.57","21,469.27","21,636.78","21,636.78",-915.39,-0.04,27-Mar-20
30-Mar-20,"21,678.22","22,378.09","21,522.08","22,327.48","22,327.48",690.7,0.03,30-Mar-20
31-Mar-20,"22,208.42","22,480.37","21,852.08","21,917.16","21,917.16",-410.32,-0.02,31-Mar-20
1-Apr-20,"21,227.38","21,487.24","20,784.43","20,943.51","20,943.51",-973.65,-0.04,1-Apr-20
2-Apr-20,"20,819.46","21,477.77","20,735.02","21,413.44","21,413.44",469.93,0.02,2-Apr-20
3-Apr-20,"21,285.93","21,447.81","20,863.09","21,052.53","21,052.53",-360.91,-0.02,3-Apr-20
6-Apr-20,"21,693.63","22,783.45","21,693.63","22,679.99","22,679.99","1,627.46",0.08,6-Apr-20
7-Apr-20,"23,537.44","23,617.24","22,634.45","22,653.86","22,653.86",-26.13,0,7-Apr-20
8-Apr-20,"22,893.47","23,513.40","22,682.99","23,433.57","23,433.57",779.71,0.03,8-Apr-20
9-Apr-20,"23,690.66","24,008.99","23,504.09","23,719.37","23,719.37",285.8,0.01,9-Apr-20
13-Apr-20,"23,698.93","23,698.93","23,095.35","23,390.77","23,390.77",-328.6,-0.01,13-Apr-20
14-Apr-20,"23,690.57","24,040.58","23,683.44","23,949.76","23,949.76",558.99,0.02,14-Apr-20
15-Apr-20,"23,600.72","23,649.72","23,233.32","23,504.35","23,504.35",-445.41,-0.02,15-Apr-20
16-Apr-20,"23,543.66","23,598.08","23,211.38","23,537.68","23,537.68",33.33,0,16-Apr-20
17-Apr-20,"23,817.15","24,264.21","23,817.15","24,242.49","24,242.49",704.81,0.03,17-Apr-20
