 LIST PRICE ,HIGH,HOME TYPE,LOCATION,SQFT
200000,0,Condo/Coop,Downtown Los Angeles,900
275000,0,Single Family Residential,Santa Monica,560
319000,0,Condo/Coop,Downtown Los Angeles,690
349000,0,Condo/Coop,Downtown Los Angeles,690
410000,0,Condo/Coop,Downtown Los Angeles,970
429000,0,Condo/Coop,Downtown Los Angeles,1066
430000,0,Condo/Coop,Santa Monica,655
439000,0,Condo/Coop,Downtown Los Angeles,970
439000,0,Condo/Coop,Downtown Los Angeles,1087
439000,0,Condo/Coop,Santa Monica,878
439000,0,Condo/Coop,Santa Monica,836
439900,0,Condo/Coop,Santa Monica,693
440000,0,Condo/Coop,Santa Monica,1160
449000,0,Condo/Coop,Downtown Los Angeles,1066
495000,0,Condo/Coop,Santa Monica,868
529000,0,Condo/Coop,Santa Monica,699
529000,0,Condo/Coop,Santa Monica,699
550000,0,Condo/Coop,Santa Monica,750
560000,0,Condo/Coop,Downtown Los Angeles,1400
575000,0,Condo/Coop,Santa Monica,722
585000,0,Condo/Coop,Santa Monica,959
595000,0,Condo/Coop,Santa Monica,754
599000,0,Condo/Coop,Beverly Hills,1299
599000,0,Condo/Coop,Santa Monica,858
599000,0,Condo/Coop,Santa Monica,1367
599000,0,Condo/Coop,Santa Monica,1054
625000,0,Condo/Coop,Santa Monica,915
625000,0,Condo/Coop,Santa Monica,1279
649000,0,Condo/Coop,Santa Monica,960
650000,0,Condo/Coop,Santa Monica,1100
658000,0,Condo/Coop,Beverly Hills,1887
660000,0,Single Family Residential,Santa Monica,900
675000,0,Condo/Coop,Santa Monica,1675
690000,0,Condo/Coop,Santa Monica,1105
695000,0,Condo/Coop,Santa Monica,1191
696000,0,Condo/Coop,Santa Monica,1182
699000,0,Condo/Coop,Santa Monica,1357
719000,0,Condo/Coop,Beverly Hills,1616
749000,0,Single Family Residential,Santa Monica,760
765000,0,Condo/Coop,Downtown Los Angeles,1847
779900,0,Condo/Coop,Downtown Los Angeles,1407
780000,0,Condo/Coop,Beverly Hills,2125
875000,0,Condo/Coop,Beverly Hills,1989
895000,0,Condo/Coop,Beverly Hills,1567
899000,0,Condo/Coop,Santa Monica,1612
929000,0,Condo/Coop,Santa Monica,2292
975000,0,Condo/Coop,Santa Monica,1146
999999,0,Single Family Residential,Beverly Hills,1610
1100000,0,Condo/Coop,Beverly Hills,1634
1124000,0,Single Family Residential,Beverly Hills,2400
1160000,0,Condo/Coop,Beverly Hills,2621
1175000,0,Condo/Coop,Santa Monica,1427
1175000,0,Single Family Residential,Santa Monica,1097
1189000,0,Single Family Residential,Santa Monica,1621
