objectid,ff,co,numstreet,city,state,metro,zipcode,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
1,"Fast Food","Burger King","1006 Beards Hill Rd",Aberdeen,MD,Harford,21001,39.521818,-76.184289,1,rooftop,1006,"Beards Hill Rd",,,Aberdeen,MD,"Harford County",21001,US,Harford
17,"Fast Food","Burger King","15785 Livingston Rd",Accokeek,MD,"Prince George's",20607,38.67002,-77.008262,1,rooftop,15785,"Livingston Rd",,,Accokeek,MD,"Prince George's County",20607,US,"Prince Georges"
26,"Fast Food","Burger King","1952 West St",Annapolis,MD,"Anne Arundel",21401,38.981327,-76.527442,1,rooftop,1952,"West St",,,Annapolis,MD,"Anne Arundel County",21401,US,"Anne Arundel"
77,"Fast Food","Burger King","6605 Reisterstown Rd",Baltimore,MD,"Baltimore City",21215,39.357561,-76.703124,1,rooftop,6605,"Reisterstown Rd",,,Baltimore,MD,"Baltimore City",21215,US,"City of Baltimore"
78,"Fast Food","Burger King","4400 Reisterstown Rd",Baltimore,MD,"Baltimore City",21215,39.339061,-76.668494,1,rooftop,4400,"Reisterstown Rd",,,Baltimore,MD,"Baltimore City",21215,US,"City of Baltimore"
79,"Fast Food","Burger King","2301 Liberty Heights Ave",Baltimore,MD,"Baltimore City",21215,39.318286,-76.652516,1,range_interpolation,2301,"Liberty Heights Ave",,,Baltimore,MD,"Baltimore City",21215,US,"TIGER/Line® dataset from the US Census Bureau"
80,"Fast Food","Burger King","1437 W Patapsco Ave",Baltimore,MD,"Baltimore City",21230,39.248141,-76.639346,1,rooftop,1437,"W Patapsco Ave",,,Baltimore,MD,"Baltimore City",21230,US,"Statewide MD"
81,"Fast Food","Burger King","1201 W North Ave",Baltimore,MD,"Baltimore City",21217,39.310009,-76.637299,1,rooftop,1201,"W North Ave",,,Baltimore,MD,"Baltimore City",21217,US,"City of Baltimore"
82,"Fast Food","Burger King","2001 East Monument St",Baltimore,MD,"Baltimore City",21205,39.298348,-76.589421,1,rooftop,2001,"E Monument St",,,Baltimore,MD,"Baltimore City",21205,US,"City of Baltimore"
83,"Fast Food","Burger King","555 W 29Th St",Baltimore,MD,"Baltimore City",21211,39.320508,-76.625802,1,rooftop,555,"W 29th St",,,Baltimore,MD,"Baltimore City",21211,US,"City of Baltimore"
84,"Fast Food","Burger King","100 S Charles St",Baltimore,MD,"Baltimore City",21201,39.287184,-76.615606,1,rooftop,100,"S Charles St",,,Baltimore,MD,"Baltimore City",21201,US,"City of Baltimore"
