objectid,ff,co,numstreet,city,state,metro,zipcode
10,Fast Food,Chik-Fil-A,408 Constant Friendship Blvd,Abingdon,MD,Harford,21009
27,Fast Food,Chik-Fil-A,1035 Annapolis Mall,Annapolis,MD,Anne Arundel,21401
57,Fast Food,Chik-Fil-A,3599 Washington Blvd,Arbutus,MD,Baltimore,21227
94,Fast Food,Chik-Fil-A,900 Caton Ave,Baltimore,MD,Baltimore City,21229
317,Fast Food,Chik-Fil-A,7101 Democracy Blvd,Bethesda,MD,Montgomery,20817
338,Fast Food,Chik-Fil-A,10631 Martin Luther King Jr Hwy,Bowie,MD,Prince George's,20720
339,Fast Food,Chik-Fil-A,16503 Ballpark Rd,Bowie,MD,Prince George's,20716
358,Fast Food,Chik-Fil-A,16003 Crain Hwy,Brandywine,MD,Prince George's,20613
383,Fast Food,Chik-Fil-A,45150 First Colony Way,California,MD,St. Mary's,20619
412,Fast Food,Chik-Fil-A,9121 Alaking Ct,Capitol Heights,MD,Prince George's,20743
430,Fast Food,Chik-Fil-A,1000 Hilltop Cir,Catonsville,MD,Baltimore,21228
431,Fast Food,Chik-Fil-A,5668 Baltimore National Pike,Catonsville,MD,Baltimore,21228
456,Fast Food,Chik-Fil-A,1845 Main St,Chester,MD,Queen Anne's,21619
493,Fast Food,Chik-Fil-A,10142 York Rd,Cockeysville,MD,Baltimore,21030
505,Fast Food,Chik-Fil-A,1150 S Campus Dining Hall,College Park,MD,Prince George's,20742
522,Fast Food,Chik-Fil-A,4905 Executive Park Dr,Columbia,MD,Howard,21045
523,Fast Food,Chik-Fil-A,10300 Little Patuxent Pkwy,Columbia,MD,Howard,21044
524,Fast Food,Chik-Fil-A,6375 Dobbin Rd,Columbia,MD,Howard,21045
557,Fast Food,Chik-Fil-A,221 Williams St,Cumberland,MD,Allegany,21502
558,Fast Food,Chik-Fil-A,1262 Vocke Rd,Cumberland,MD,Allegany,21502
586,Fast Food,Chik-Fil-A,5502 Silver Hill Rd,District Heights,MD,Prince George's,20747
596,Fast Food,Chik-Fil-A,7907 Eastern Ave,Dundalk,MD,Baltimore,21224
612,Fast Food,Chik-Fil-A,28632 Marlboro Ave,Easton,MD,Talbot,21601
627,Fast Food,Chik-Fil-A,3220 Solomons Island Rd,Edgewater,MD,Anne Arundel,21037
664,Fast Food,Chik-Fil-A,1100 E Pulaski Hwy,Elkton,MD,Cecil,21921
710,Fast Food,Chik-Fil-A,1980 Rock Spring Rd,Forest Hill,MD,Harford,21050
748,Fast Food,Chik-Fil-A,5501 Urbana Pike,Frederick,MD,Frederick,21704
811,Fast Food,Chik-Fil-A,104 Main St,Gaithersburg,MD,Montgomery,20878
850,Fast Food,Chik-Fil-A,2615 Brandermill Blvd,Gambrills,MD,Anne Arundel,21054
865,Fast Food,Chik-Fil-A,19945 Century Blvd4,Germantown,MD,Montgomery,20874
896,Fast Food,Chik-Fil-A,6709 Ritchie Hwy,Glen Burnie,MD,Anne Arundel,21061
897,Fast Food,Chik-Fil-A,7900 Ritchie Hwy,Glen Burnie,MD,Anne Arundel,21061
953,Fast Food,Chik-Fil-A,1680 Wesel Blvd,Hagerstown,MD,Washington,21740
1040,Fast Food,Chik-Fil-A,6 Hyland Ave,Hunt Valley,MD,Baltimore,21030
1082,Fast Food,Chik-Fil-A,107 Drury Dr,La Plata,MD,Charles,20646
1128,Fast Food,Chik-Fil-A,1040 Shoppers Way,Largo,MD,Prince George's,20774
1138,Fast Food,Chik-Fil-A,3366 Corridor Market Place,Laurel,MD,Anne Arundel,20724
1139,Fast Food,Chik-Fil-A,13600 Baltimore Ave,Laurel,MD,Prince George's,20707
1140,Fast Food,Chik-Fil-A,10975 Johns Hopkins Rd,Laurel,MD,Howard,20723
1204,Fast Food,Chik-Fil-A,1202 Martin Blvd,Middle River,MD,Baltimore,21220
1255,Fast Food,Chik-Fil-A,8867 Belair Rd,Nottingham,MD,Baltimore,21236
1275,Fast Food,Chik-Fil-A,12901 Ocean Gateway,Ocean City,MD,Worcester,21842
1318,Fast Food,Chik-Fil-A,10480 Owings Mills Blvd,Owings Mills,MD,Baltimore,21117
1355,Fast Food,Chik-Fil-A,2008 E Joppa Rd,Parkville,MD,Baltimore,21234
1373,Fast Food,Chik-Fil-A,8110 Jumpers Hole Rd,Pasadena,MD,Anne Arundel,21122
1501,Fast Food,Chik-Fil-A,5198 Campbell Blvd,Rossville,MD,Baltimore,21236
1510,Fast Food,Chik-Fil-A,2300 N Salisbury Blvd,Salisbury,MD,Wicomico,21801
1511,Fast Food,Chik-Fil-A,2736 N Salisbury Blvd,Salisbury,MD,Wicomico,21801
1542,Fast Food,Chik-Fil-A,7831 Quarterfield Park Road,Severn,MD,Anne Arundel,21144
1567,Fast Food,Chik-Fil-A,825 Ellsworth Dr,Silver Spring,MD,Montgomery,20910
1568,Fast Food,Chik-Fil-A,12289 Tech Rd,Silver Spring,MD,Montgomery,20904
1650,Fast Food,Chik-Fil-A,8000 York Rd,Towson,MD,Baltimore,21252
1651,Fast Food,Chik-Fil-A,825 Dulaney Valley Rd,Towson,MD,Baltimore,21204
1695,Fast Food,Chik-Fil-A,3365 Crain Hwy,Waldorf,MD,Charles,20603
1696,Fast Food,Chik-Fil-A,11110 Mall Cir,Waldorf,MD,Charles,20603
1731,Fast Food,Chik-Fil-A,144 Englar Rd,Westminster,MD,Carroll,21157
1732,Fast Food,Chik-Fil-A,400 N Center St,Westminster,MD,Carroll,21157
1758,Fast Food,Chik-Fil-A,8200 Perry Hall Blvd,White Marsh,MD,Baltimore,21236
