objectid,ff,co,numstreet,city,state,metro,zipcode,Latitude,Longitude
3,Fast Food,KFC,1009 Beards Hill Road,Aberdeen,MD,Harford,21001,39.521547,-76.185428
12,Fast Food,KFC,406 Constant Friendship Blvd,Abingdon,MD,Harford,21009,39.461761,-76.318367
21,Fast Food,KFC,2001 University Blvd E,Adelphi,MD,Prince George's,20783,38.983219,-76.978912
38,Fast Food,KFC,1978 West Street,Annapolis,MD,Anne Arundel,21401,38.98775,-76.5528
127,Fast Food,KFC,7710 Wise Ave,Baltimore,MD,Baltimore,21222,39.269894,-76.501856
128,Fast Food,KFC,6219 Belair Rd,Baltimore,MD,Baltimore City,21206,39.350155,-76.535306
129,Fast Food,KFC,3710 Pulaski Highway,Baltimore,MD,Baltimore City,21224,39.296674,-76.566415
130,Fast Food,KFC,6600 Reisterstown Road,Baltimore,MD,Baltimore City,21215,39.357122,-76.703901
131,Fast Food,KFC,2853 Greenmount Ave,Baltimore,MD,Baltimore City,21218,39.323293,-76.609456
132,Fast Food,KFC,7112 Liberty Rd,Baltimore,MD,Baltimore,21207,39.346175,-76.736165
133,Fast Food,KFC,5000 Sinclair Lane,Baltimore,MD,Baltimore City,21206,39.323639,-76.545955
134,Fast Food,KFC,2329 Frederick Ave,Baltimore,MD,Baltimore City,21223,39.284349,-76.65355
135,Fast Food,KFC,1211 Eastern Boulevard,Baltimore,MD,Baltimore,21221,39.314748,-76.460982
136,Fast Food,KFC,5625 Odonnell Street,Baltimore,MD,Baltimore City,21224,39.280007,-76.547306
137,Fast Food,KFC,3815 Wilkens Ave,Baltimore,MD,Baltimore City,21229,39.269443,-76.683416
138,Fast Food,KFC,2205 E Joppa Rd,Baltimore,MD,Baltimore,21234,39.397857,-76.539259
139,Fast Food,KFC,7306 Mcclean Boulevard,Baltimore,MD,Baltimore,21234,39.372619,-76.567966
140,Fast Food,KFC,100-02 Howard St,Baltimore,MD,Baltimore City,21201,39.290588,-76.619757
141,Fast Food,KFC,901 North Caroline Street,Baltimore,MD,Baltimore City,21205,39.300939,-76.597017
142,Fast Food,KFC,5647 Baltimore National Pike,Baltimore,MD,Baltimore,21228,39.288187,-76.729365
143,Fast Food,KFC,1821 Saint Paul St,Baltimore,MD,Baltimore City,21202,39.310378,-76.614545
277,Fast Food,KFC,130 Baltimore Pike,Bel Air,MD,Harford,21014,39.53263,-76.348833
297,Fast Food,KFC,11751 Beltsville Drive,Beltsville,MD,Prince George's,20705,39.05062,-76.936717
298,Fast Food,KFC,10906 Baltimore Ave,Beltsville,MD,Prince George's,20705,39.033289,-76.910215
314,Fast Food,KFC,6101 Greenbelt Rd,Berwyn Heights,MD,Prince George's,20740,38.997157,-76.909241
