objectid,ff,co,numstreet,city,state,metro,zipcode
4,Fast Food,McDonald's,330 S Philadelphia Blvd,Aberdeen,MD,Harford,21001
5,Fast Food,McDonald's,999 Beards Hill Rd,Aberdeen,MD,Harford,21001
13,Fast Food,McDonald's,404 Constant Friendship Blvd,Abingdon,MD,Harford,21009
146,Fast Food,McDonald's,25 N Howard St,Baltimore,MD,Baltimore City,21201
147,Fast Food,McDonald's,425 W Baltimore St,Baltimore,MD,Baltimore City,21201
148,Fast Food,McDonald's,2001 N Broadway,Baltimore,MD,Baltimore City,21213
149,Fast Food,McDonald's,2701 Port Covington,Baltimore,MD,Baltimore City,21230
150,Fast Food,McDonald's,3249 Frederick Ave,Baltimore,MD,Baltimore City,21229
151,Fast Food,McDonald's,3223 Washington Blvd,Baltimore,MD,Baltimore City,21230
152,Fast Food,McDonald's,3619 Wilkins Ave,Baltimore,MD,Baltimore City,21229
153,Fast Food,McDonald's,6540 Eastern Avenue,Baltimore,MD,Baltimore City,21224
154,Fast Food,McDonald's,5100 York Rd,Baltimore,MD,Baltimore City,21212
155,Fast Food,McDonald's,5045 Ritchie Hwy,Baltimore,MD,Anne Arundel,21225
156,Fast Food,McDonald's,5713 Belair Rd,Baltimore,MD,Baltimore City,21206
157,Fast Food,McDonald's,15 W North Ave,Baltimore,MD,Baltimore City,21201
158,Fast Food,McDonald's,2840 Greenmount Ave,Baltimore,MD,Baltimore City,21218
159,Fast Food,McDonald's,3401 Pulaski Highway,Baltimore,MD,Baltimore City,21224
160,Fast Food,McDonald's,2501-13 W Franklin Str,Baltimore,MD,Baltimore City,21223
161,Fast Food,McDonald's,3920 Falls Rd,Baltimore,MD,Baltimore City,21211
162,Fast Food,McDonald's,101 W Patapsco Ave,Baltimore,MD,Baltimore City,21225
163,Fast Food,McDonald's,5600 Odonnell Street Cut Off,Baltimore,MD,Baltimore City,21224
164,Fast Food,McDonald's,1600 Argonne Dr,Baltimore,MD,Baltimore City,21218
165,Fast Food,McDonald's,6001 Moravia Rd,Baltimore,MD,Baltimore City,21206
166,Fast Food,McDonald's,4635- 37 Harford Road,Baltimore,MD,Baltimore City,21214
167,Fast Food,McDonald's,4401 Reistertown Rd,Baltimore,MD,Baltimore City,21215
168,Fast Food,McDonald's,101 E Baltimore,Baltimore,MD,Baltimore City,21202
169,Fast Food,McDonald's,200 E. Pratt,Baltimore,MD,Baltimore City,21202
170,Fast Food,McDonald's,825 East Fort Avenue,Baltimore,MD,Baltimore City,21230
171,Fast Food,McDonald's,4526 Erdman Ave,Baltimore,MD,Baltimore City,21213
278,Fast Food,McDonald's,2111 Churchville Rd,Bel Air,MD,Harford,21015
279,Fast Food,McDonald's,1906 Emmorton Rd,Bel Air,MD,Harford,21014
280,Fast Food,McDonald's,599-B Baltimore National Pike,Bel Air,MD,Harford,21014
281,Fast Food,McDonald's,Conowingo Road & Hickory Bypass,Bel Air,MD,Harford,21014
282,Fast Food,McDonald's,1 Red Pump Rd,Bel Air,MD,Harford,21014
293,Fast Food,McDonald's,1325 Riverside Pkwy,Belcamp,MD,Harford,21017
309,Fast Food,McDonald's,10712 Ocean Gtwy,Berlin,MD,Worcester,21811
315,Fast Food,McDonald's,6219 Greenbelt Road,Berwyn Heights,MD,Prince George's,20740
322,Fast Food,McDonald's,8901 Wisconsin Ave,Bethesda,MD,Montgomery,20814
373,Fast Food,McDonald's,3050 Marshall Hall Rd,Bryans Road,MD,Charles,20616
386,Fast Food,McDonald's,Three Notch Road & Old Rolling Road,California,MD,St. Mary's,20619
400,Fast Food,McDonald's,Rte 50/Cedar St,Cambridge,MD,Dorchester,21613
417,Fast Food,McDonald's,4777 Marlboro Pike,Capitol Heights,MD,Prince George's,20743
418,Fast Food,McDonald's,1701 Ritchie Station Ct,Capitol Heights,MD,Prince George's,20743
419,Fast Food,McDonald's,1420 Addison Rd S,Capitol Heights,MD,Prince George's,20743
420,Fast Food,McDonald's,20 Ritchie Rd,Capitol Heights,MD,Prince George's,20743
445,Fast Food,McDonald's,2490 Centreville Rd,Centreville,MD,Queen Anne's,21617
450,Fast Food,McDonald's,30050 Three Notch Rd,Charlotte Hall,MD,Charles,20622
454,Fast Food,McDonald's,7925 Bayside Rd,Chesapeake Beach,MD,Calvert,20732
465,Fast Food,McDonald's,875 Washington Ave (Rt 213),Chestertown,MD,Kent,21620
474,Fast Food,McDonald's,12820 Clear Spring Rd,Clear Spring,MD,Washington,21722
481,Fast Food,McDonald's,6515 Old Alexandria Ferry Road,Clinton,MD,Prince George's,20735
482,Fast Food,McDonald's,8755 Branch Ave,Clinton,MD,Prince George's,20735
483,Fast Food,McDonald's,8905 Stuart Lane,Clinton,MD,Prince George's,20735
496,Fast Food,McDonald's,528 Cranbrook Rd,Cockeysville,MD,Baltimore,21030
497,Fast Food,McDonald's,11310 York Rd,Cockeysville,MD,Baltimore,21030
507,Fast Food,McDonald's,University Of Maryland,College Park,MD,Prince George's,20740
508,Fast Food,McDonald's,8301 Baltimore Blvd,College Park,MD,Prince George's,20740
516,Fast Food,McDonald's,4101 Bladensburg Rd,Colmar Manor,MD,Prince George's,20722
545,Fast Food,McDonald's,15713 Mcmullen Hwy SW,Cresaptown,MD,Allegany,21502
547,Fast Food,McDonald's,10 Maryland Ave,Crisfield,MD,Somerset,21817
562,Fast Food,McDonald's,22 Queen City Dr,Cumberland,MD,Allegany,21502
563,Fast Food,McDonald's,620 Industrial Blvd,Cumberland,MD,Allegany,21502
574,Fast Food,McDonald's,26429 Ridge Rd,Damascus,MD,Montgomery,20872
581,Fast Food,McDonald's,15801 Frederick Rd,Derwood,MD,Montgomery,20855
582,Fast Food,McDonald's,7200 Muncaster Mill Road,Derwood,MD,Montgomery,20855
604,Fast Food,McDonald's,10850 Town Center Blvd,Dunkirk,MD,Calvert,20754
640,Fast Food,McDonald's,2201 Pulaski Hwy,Edgewood,MD,Harford,21040
649,Fast Food,McDonald's,1722 Liberty Rd,Eldersburg,MD,Carroll,21784
668,Fast Food,McDonald's,101 E Pulaski Hwy,Elkton,MD,Cecil,21921
669,Fast Food,McDonald's,226 Belle Hill Rd,Elkton,MD,Cecil,21921
670,Fast Food,McDonald's,1000 E Pulaski Hwy,Elkton,MD,Cecil,21921
691,Fast Food,McDonald's,517 E Main Street,Emmitsburg,MD,Frederick,21727
694,Fast Food,McDonald's,2119 Eastern Blvd,Essex,MD,Baltimore,21220
695,Fast Food,McDonald's,205 Back River Neck Rd,Essex,MD,Baltimore,21221
