objectid,ff,co,numstreet,city,state,metro,zipcodes,Latitude,Longitude
22,Fast Food,Popeye's,9147 Riggs Rd,Adelphi,MD,Prince George's,20783,39.004584,-76.969251
41,Fast Food,Popeye's,903 Bay Ridge Road,Annapolis,MD,Anne Arundel,21403,38.948671,-76.490496
42,Fast Food,Popeye's,22 Defense St,Annapolis,MD,Anne Arundel,21401,38.984046,-76.537184
193,Fast Food,Popeye's,300 N Broadway,Baltimore,MD,Baltimore City,21231,39.294846,-76.594414
194,Fast Food,Popeye's,3400 Pulaski Highway,Baltimore,MD,Baltimore City,21224,39.296385,-76.569164
195,Fast Food,Popeye's,2301 Liberty Heights Ave,Baltimore,MD,Baltimore City,21215,39.318286,-76.652516
196,Fast Food,Popeye's,5002 Sinclair Ln,Baltimore,MD,Baltimore City,21206,39.323348,-76.543251
197,Fast Food,Popeye's,5002 York Rd,Baltimore,MD,Baltimore City,21212,39.349497,-76.610097
198,Fast Food,Popeye's,6642 Belair Rd,Baltimore,MD,Baltimore City,21206,39.354886,-76.531383
199,Fast Food,Popeye's,6512 A Reisterstown Rd,Baltimore,MD,Baltimore City,21215,39.356434,-76.706385
200,Fast Food,Popeye's,4408 Edmondson Ave,Baltimore,MD,Baltimore City,21229,39.293756,-76.68958
201,Fast Food,Popeye's,887 E. Fort Ave.,Baltimore,MD,Baltimore City,21230,39.271599,-76.601843
202,Fast Food,Popeye's,1311 Merritt Blvd,Baltimore,MD,Baltimore,21222,39.2791,-76.504206
203,Fast Food,Popeye's,1202 Martin Blvd,Baltimore,MD,Baltimore,21220,39.334256,-76.450095
299,Fast Food,Popeye's,11428 Cherry Hill Road,Beltsville,MD,Prince George's,20705,39.044342,-76.951615
325,Fast Food,Popeye's,7101 Democracy Blvd,Bethesda,MD,Montgomery,20817,39.024365,-77.145866
345,Fast Food,Popeye's,15480 Annapolis Rd,Bowie,MD,Prince George's,20715,38.980302,-76.734674
366,Fast Food,Popeye's,5317 Governor Ritchie Hwy,Brooklyn Park,MD,Anne Arundel,21225,39.228441,-76.616356
401,Fast Food,Popeye's,209 Sunburst Highway,Cambridge,MD,Dorchester,21613,38.567195,-76.065249
407,Fast Food,Popeye's,4913 Allentown Rd,Camp Springs,MD,Prince George's,20746,38.818848,-76.892241
434,Fast Food,Popeye's,6400 Baltimore National Pike,Catonsville,MD,Baltimore,21228,39.284847,-76.756906
451,Fast Food,Popeye's,30263 Triangle Drive,Charlotte Hall,MD,Charles,20622,38.499255,-76.774065
485,Fast Food,Popeye's,8817 Woodyard Rd,Clinton,MD,Prince George's,20735,38.769328,-76.883854
498,Fast Food,Popeye's,1 Cranbrook Road,Cockeysville,MD,Baltimore,21030,39.463126,-76.635273
532,Fast Food,Popeye's,10300 Little Patuxent Pkwy,Columbia,MD,Howard,21044,39.215779,-76.860099
592,Fast Food,Popeye's,5320 Marlboro Pike,District Heights,MD,Prince George's,20747,38.865032,-76.915272
616,Fast Food,Popeye's,8199 Ocean Gateway,Easton,MD,Talbot,21601,38.774259,-76.059619
630,Fast Food,Popeye's,98 E Central Ave,Edgewater,MD,Anne Arundel,21037,38.927353,-76.566809
631,Fast Food,Popeye's,1011 Woodbridge Ctr Way,Edgewood,MD,Harford,21040,39.432763,-76.328099
671,Fast Food,Popeye's,106 Big Elk Mall Rt 40,Elkton,MD,Cecil,21921,39.599706,-75.824627
768,Fast Food,Popeye's,5721 Buckeystown Pike,Frederick,MD,Frederick,21701,39.391685,-77.408883
769,Fast Food,Popeye's,1403 W Patrick Street,Frederick,MD,Frederick,21702,39.420113,-77.461454
828,Fast Food,Popeye's,417 N Frederick Ave,Gaithersburg,MD,Montgomery,20877,39.146799,-77.204653
855,Fast Food,Popeye's,1086 Rte 3 North Lane,Gambrills,MD,Anne Arundel,21054,39.025442,-76.690378
876,Fast Food,Popeye's,18074 Mateny Rd,Germantown,MD,Montgomery,20874,39.147471,-77.27282
