object id,ff,co,numstreet,city,state,metro,zipcode,Latitude,Longitude
9,Fast Food,Wendy's,987 Beards Hill Road,Aberdeen,MD,Harford,21001,-8480747.847,4797002.552
16,Fast Food,Wendy's,2910 Emmorton Road,Abingdon,MD,Harford,21009,-8494893.357,4790669.753
20,Fast Food,Wendy's,7099 Berry Road,Accokeek,MD,Prince George's,20607,-8572984.406,4672947.798
53,Fast Food,Wendy's,1949 West St,Annapolis,MD,Anne Arundel,21401,-8519042.747,4718942.308
54,Fast Food,Wendy's,153 Defense Hwy,Annapolis,MD,Anne Arundel,21401,-8522070.981,4719531.038
55,Fast Food,Wendy's,1454 Whitehall Rd.,Annapolis,MD,Anne Arundel,21403,-8509681.104,4725434.535
60,Fast Food,Wendy's,3620 Washington Blvd,Arbutus,MD,Baltimore,21227,-8534968.138,4757321.979
261,Fast Food,Wendy's,901 Mcculloh Street,Baltimore,MD,Baltimore City,21217,-8529685.82,4764614.979
262,Fast Food,Wendy's,2045 Harford Road,Baltimore,MD,Baltimore City,21218,-8526871.874,4766730.508
263,Fast Food,Wendy's,2339 Frederick Ave.,Baltimore,MD,Baltimore City,21223,-8533008.224,4762514.148
264,Fast Food,Wendy's,6411 Eastern Avenue,Baltimore,MD,Baltimore City,21224,-8520220.471,4762957.17
265,Fast Food,Wendy's,5615 York Road,Baltimore,MD,Baltimore City,21213,-8528167.342,4773080.837
266,Fast Food,Wendy's,4410 West Northern Pky,Baltimore,MD,Baltimore City,21215,-8538047.112,4771264.756
267,Fast Food,Wendy's,4200 Patterson Avenue,Baltimore,MD,Baltimore City,21215,-8538707.799,4772567.729
291,Fast Food,Wendy's,2308 East Churchville Road,Bel Air,MD,Harford,21014,-8490924.815,4801536.931
292,Fast Food,Wendy's,1604 Conowingo Road,Bel Air,MD,Harford,21014,-8499725.768,4803522.267
305,Fast Food,Wendy's,10634 Baltimore Boulevard,Beltsville,MD,Prince George's,20705,-8562114.538,4725948.273
356,Fast Food,Wendy's,16400 Harbour Way,Bowie,MD,Prince George's,20716,-8540265.763,4714302.711
391,Fast Food,Wendy's,45460 Miramar Way,California,MD,St. Mary's,20619,-8516080.234,4620960.363
393,Fast Food,Wendy's,11741 Beltsville Dr,Calverton,MD,Prince George's,20705,-8564615.602,4728876.366
404,Fast Food,Wendy's,211 Sunburst Highway,Cambridge,MD,Dorchester,21613,-8467501.86,4659880.306
408,Fast Food,Wendy's,6335 Allentown Road,Camp Springs,MD,Prince George's,20748,-8561383.436,4693442.854
425,Fast Food,Wendy's,8715 Central Ave,Capitol Heights,MD,Prince George's,20743,-8555621.977,4705958.447
443,Fast Food,Wendy's,6600 Baltimore National Pike,Catonsville,MD,Baltimore,21228,-8545319.235,4762772.784
453,Fast Food,Wendy's,30273 Triangle Drive,Charlotte Hall,MD,Charles,20622,-8546379.838,4649997.074
461,Fast Food,Wendy's,120 Chester Station Road,Chester,MD,Queen Anne's,21619,-8491577.793,4718307.327
473,Fast Food,Wendy's,5801 Clarksville Square Drive,Clarksville,MD,Howard,21019,-8564647.003,4752058.318
489,Fast Food,Wendy's,8907 Woodyard Rd,Clinton,MD,Prince George's,20735,-8559041.094,4688390.487
502,Fast Food,Wendy's,9817 York Rd,Cockeysville,MD,Baltimore,21030,-8530895.107,4787718.65
543,Fast Food,Wendy's,9150 Rt 108,Columbia,MD,Howard,21045,-8552714.865,4755254.106
544,Fast Food,Wendy's,6355 Dobbin Road,Columbia,MD,Howard,21045,-8551574.889,4749989.557
569,Fast Food,Wendy's,325 S. Centre Street,Cumberland,MD,Allegany,21502,-8766900.717,4815340.892
584,Fast Food,Wendy's,15807 Frederick Road,Derwood,MD,Montgomery,20855,-8589917.82,4738130.507
595,Fast Food,Wendy's,5425 Silver Hill Rd,District Heights,MD,Prince George's,20747,-8562163.618,4700505.688
603,Fast Food,Wendy's,1320 Merritt Blvd,Dundalk,MD,Baltimore,21222,-8516507.632,4761781.457
638,Fast Food,Wendy's,100 E Central Ave,Edgewater,MD,Anne Arundel,21037,-8523183.21,4711156.581
642,Fast Food,Wendy's,1950 Pulaski Highway,Edgewood,MD,Harford,21040,-8495189.91,4784264.538
653,Fast Food,Wendy's,6400 Ridge Rd,Eldersburg,MD,Carroll,21784,-8564053.947,4778830.699
662,Fast Food,Wendy's,7311 Washington Blvd,Elkridge,MD,Howard,21075,-8545333.13,4748017.613
700,Fast Food,Wendy's,1344 Eastern Boulevard,Essex,MD,Baltimore,21221,-8511567.817,4767039.505
719,Fast Food,Wendy's,3440 Donnell Drive,Forestville,MD,Prince George's,20747,-8558752.379,4699543.007
732,Fast Food,Wendy's,11815 Livingston Road,Fort Washington,MD,Prince George's,20744,-8570558.984,4682621.306
794,Fast Food,Wendy's,98 Monocacy Boulevard,Frederick,MD,Frederick,21701,-8614812.83,4780200.332
795,Fast Food,Wendy's,5719 Buckeystown Pike,Frederick,MD,Frederick,21701,-8617165.564,4777905.885
796,Fast Food,Wendy's,1201 W Patrick St,Frederick,MD,Frederick,21702,-8621791.338,4781810.154
843,Fast Food,Wendy's,18350 Contour Rd,Gaithersburg,MD,Montgomery,20877,-8593900.412,4743937.451
